Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Aaron Hicks,2023,OF,35,78,312,269,44,68,9,1,8,36,6,0,42,69,0,1,0,0.253,0.353,0.383,0.736,LAA
Aaron Judge,2023,OF,32,115,458,367,79,98,16,0,37,75,3,1,88,130,0,3,0,0.267,0.406,0.613,1.0190000000000001,NYY
Adam Duvall,2023,OF,36,89,353,320,45,79,24,2,21,58,4,0,22,110,0,5,6,0.247,0.303,0.531,0.8340000000000001,ATL
Adam Frazier,2023,2B,33,113,450,412,59,99,21,2,13,60,11,4,32,68,4,2,4,0.24,0.3,0.396,0.696,KC
Adley Rutschman,2023,C,27,162,687,588,84,163,31,1,20,80,1,2,92,101,0,5,2,0.277,0.374,0.435,0.8089999999999999,BAL
Adolis Garcia,2023,OF,31,158,632,555,108,136,29,0,39,107,9,1,65,175,0,6,6,0.245,0.328,0.508,0.8360000000000001,TEX
Akil Baddoo,2023,OF,26,89,355,312,40,68,13,1,11,34,14,3,42,89,2,1,0,0.218,0.31,0.372,0.6819999999999999,DET
Alan Trejo,2023,SS,28,57,226,207,24,48,11,0,4,26,5,1,16,51,1,2,1,0.232,0.288,0.343,0.631,COL
Alec Bohm,2023,3B,28,153,611,558,74,153,31,0,20,97,4,1,42,94,0,6,5,0.274,0.327,0.437,0.764,PHI
Alec Burleson,2023,OF,26,86,343,315,34,77,20,1,8,36,3,1,23,45,1,2,3,0.244,0.3,0.39,0.69,STL
Aledmys Diaz,2023,SS,34,86,343,315,25,72,20,1,4,24,1,0,17,66,1,4,7,0.229,0.28,0.337,0.617,HOU
Alejandro Kirk,2023,C,26,106,422,372,34,93,16,0,8,43,0,0,42,45,0,2,6,0.25,0.334,0.358,0.692,TOR
Alek Thomas,2023,OF,24,100,400,374,51,86,17,5,9,39,9,1,19,86,2,3,4,0.23,0.272,0.374,0.646,ARI
Alex Bregman,2023,3B,30,162,724,622,103,163,28,4,25,98,3,1,92,87,0,2,8,0.262,0.363,0.441,0.804,HOU
Alex Call,2023,OF,30,109,436,375,43,75,14,1,8,38,9,8,53,78,3,2,6,0.2,0.307,0.307,0.614,WSH
Alex Kirilloff,2023,OF,27,80,319,281,35,76,14,1,11,41,1,0,28,80,0,3,7,0.27,0.348,0.445,0.7929999999999999,MIN
Alex Verdugo,2023,OF,28,151,602,546,81,144,37,5,13,54,5,3,45,93,0,5,6,0.264,0.324,0.421,0.745,NYY
Alika Williams,2023,SS,25,28,111,101,7,20,5,0,0,6,0,0,9,35,1,0,1,0.198,0.27,0.248,0.518,PIT
Amed Rosario,2023,2B,29,137,545,510,70,134,25,8,6,58,15,2,29,99,0,3,3,0.263,0.305,0.378,0.683,LAD
Andres Gimenez,2023,2B,26,153,612,557,76,140,27,5,15,62,30,6,32,112,4,3,20,0.251,0.314,0.399,0.7130000000000001,CLE
Andrew Benintendi,2023,OF,30,155,620,562,72,147,34,2,5,45,13,2,52,89,1,3,3,0.262,0.326,0.356,0.6819999999999999,CWS
Andrew Knizner,2023,C,30,60,240,224,30,54,11,0,10,31,2,0,12,62,1,1,3,0.241,0.288,0.424,0.712,TEX
Andrew McCutchen,2023,DH,38,119,473,390,55,100,19,0,12,43,11,3,75,100,0,4,4,0.256,0.378,0.397,0.775,PIT
Andrew Vaughn,2023,1B,26,154,615,566,67,146,30,2,21,80,0,0,36,129,0,2,11,0.258,0.314,0.429,0.743,CWS
Andruw Monasterio,2023,2B,27,79,315,282,38,73,14,1,3,27,7,2,28,66,0,2,3,0.259,0.33,0.348,0.6779999999999999,MIL
Andy Ibanez,2023,2B,31,96,382,356,42,94,23,2,11,41,1,0,24,69,1,1,1,0.264,0.312,0.433,0.745,DET
Anthony Rendon,2023,3B,34,46,183,148,23,35,6,0,2,22,2,0,25,27,0,4,6,0.236,0.361,0.318,0.679,LAA
Anthony Rizzo,2023,1B,35,106,421,373,45,91,14,0,12,41,0,3,35,97,0,1,12,0.244,0.328,0.378,0.706,NYY
Anthony Santander,2023,OF,30,162,656,591,81,152,41,1,28,95,5,1,55,152,0,4,6,0.257,0.325,0.472,0.7969999999999999,BAL
Anthony Volpe,2023,SS,23,150,600,541,62,113,23,4,21,60,24,5,52,167,1,2,5,0.209,0.283,0.383,0.6659999999999999,NYY
Austin Barnes,2023,C,35,50,199,178,15,32,5,0,2,11,2,1,17,43,1,2,2,0.18,0.256,0.242,0.498,LAD
Austin Hays,2023,OF,29,142,566,520,76,143,36,2,16,67,5,1,38,141,0,5,3,0.275,0.325,0.444,0.769,PHI
Austin Hedges,2023,C,32,51,201,185,14,34,5,0,1,16,1,0,11,47,10,3,2,0.184,0.234,0.227,0.461,CLE
Austin Riley,2023,3B,27,162,715,636,117,179,32,3,37,97,3,1,59,172,0,11,9,0.281,0.345,0.516,0.861,ATL
Austin Slater,2023,OF,32,52,207,185,24,50,9,0,5,20,2,2,20,58,0,0,2,0.27,0.348,0.4,0.748,CIN
Austin Wynns,2023,C,34,36,142,130,11,27,6,0,1,10,1,0,9,39,3,1,2,0.208,0.268,0.277,0.545,CIN
Avisail Garcia,2023,OF,33,29,116,108,8,20,3,1,3,12,2,0,6,39,0,0,2,0.185,0.241,0.315,0.556,MIA
Billy McKinney,2023,OF,30,37,147,128,19,29,3,1,6,14,1,0,17,39,0,1,1,0.227,0.32,0.406,0.726,PIT
Blake Perkins,2023,OF,28,42,166,143,28,31,7,0,4,20,5,2,23,46,2,0,0,0.217,0.325,0.35,0.675,MIL
Blake Sabol,2023,C,27,86,342,310,36,73,10,0,13,44,4,2,24,117,2,2,6,0.235,0.301,0.394,0.6950000000000001,SF
Bo Bichette,2023,SS,26,151,601,571,69,175,30,3,20,73,5,3,27,115,0,1,2,0.306,0.339,0.475,0.8140000000000001,TOR
Bo Naylor,2023,C,25,58,230,198,33,47,13,0,11,32,5,0,30,53,0,1,1,0.237,0.339,0.47,0.8089999999999999,CLE
Bobby Witt,2023,SS,24,162,693,641,97,177,28,11,30,96,49,15,40,121,1,8,4,0.276,0.319,0.495,0.8140000000000001,KC
Brandon Crawford,2023,SS,38,80,319,283,31,55,11,1,7,38,3,0,28,81,1,4,4,0.194,0.273,0.314,0.587,STL
Brandon Drury,2023,2B,32,131,523,485,61,127,30,3,26,83,0,2,25,136,0,5,8,0.262,0.306,0.497,0.8029999999999999,LAA
Brandon Lowe,2023,2B,30,109,436,377,58,87,15,1,21,68,7,0,50,119,0,3,6,0.231,0.328,0.443,0.771,TB
Brandon Marsh,2023,OF,27,118,471,404,58,112,25,6,12,60,10,2,59,144,1,4,4,0.277,0.372,0.458,0.8300000000000001,PHI
Brandon Nimmo,2023,OF,31,162,681,592,89,162,30,6,24,68,3,3,74,146,1,4,11,0.274,0.363,0.466,0.829,NYM
Brayan Rocchio,2023,SS,24,22,86,81,9,20,6,0,0,8,0,0,4,27,0,1,0,0.247,0.279,0.321,0.6000000000000001,CLE
Brendan Donovan,2023,2B,28,93,370,327,48,93,10,1,11,34,5,1,33,53,1,1,9,0.284,0.365,0.422,0.7869999999999999,STL
Brendan Rodgers,2023,2B,28,48,192,178,21,46,9,1,4,20,0,0,11,41,0,0,3,0.258,0.312,0.388,0.7,COL
Brent Rooker,2023,DH,30,132,526,463,61,114,20,1,30,69,4,0,49,172,0,4,10,0.246,0.329,0.488,0.817,OAK
Brenton Doyle,2023,OF,26,107,428,399,48,81,16,5,10,48,22,5,22,151,3,3,4,0.203,0.25,0.343,0.593,COL
Brett Baty,2023,3B,25,97,385,353,41,75,12,0,9,34,2,0,29,109,1,1,2,0.212,0.275,0.323,0.5980000000000001,NYM
Brett Sullivan,2023,C,31,22,86,81,7,17,3,0,1,6,0,0,4,19,0,1,0,0.21,0.244,0.284,0.528,SD
Brett Wisely,2023,2B,25,33,130,120,10,21,5,0,2,8,2,1,9,40,1,1,0,0.175,0.231,0.267,0.498,SF
Brian Anderson,2023,3B,31,91,361,318,38,72,12,3,9,40,1,3,36,108,0,3,4,0.226,0.31,0.368,0.6779999999999999,ATL
Brice Turang,2023,2B,25,112,445,404,46,88,9,3,6,34,26,4,38,94,3,2,1,0.218,0.285,0.3,0.585,MIL
Bryan De La Cruz,2023,OF,28,157,625,579,60,149,32,0,19,78,4,1,40,142,0,5,1,0.257,0.304,0.411,0.715,PIT
Bryan Reynolds,2023,OF,30,160,640,574,85,151,31,5,24,84,12,1,53,138,0,6,7,0.263,0.33,0.46,0.79,PIT
Bryce Harper,2023,1B,32,137,546,457,84,134,29,1,21,72,11,3,80,119,0,4,5,0.293,0.401,0.499,0.9,PHI
Bryson Stott,2023,2B,27,160,639,585,78,164,32,2,15,62,31,3,39,100,1,8,7,0.28,0.329,0.419,0.748,PHI
Byron Buxton,2023,DH,31,87,347,304,49,63,17,1,17,42,9,0,35,109,0,4,4,0.207,0.294,0.438,0.732,MIN
CJ Abrams,2023,SS,24,153,611,563,83,138,28,6,18,64,47,4,32,118,3,3,13,0.245,0.3,0.412,0.712,WSH
Cade Marlowe,2023,OF,27,25,100,88,14,21,3,2,3,11,4,2,12,33,0,0,0,0.239,0.33,0.42,0.75,SEA
Cal Raleigh,2023,C,28,143,569,513,78,119,23,1,30,75,0,0,54,158,0,1,1,0.232,0.306,0.456,0.762,SEA
Carlos Correa,2023,SS,30,145,580,514,60,118,29,2,18,65,0,0,59,131,0,3,4,0.23,0.312,0.399,0.7110000000000001,MIN
Carlos Santana,2023,1B,38,156,619,550,78,132,33,1,23,86,6,0,65,104,0,4,0,0.24,0.318,0.429,0.747,MIN
Carson Kelly,2023,C,30,38,151,136,13,28,5,0,2,13,1,0,14,40,0,1,0,0.206,0.278,0.287,0.565,TEX
Casey Schmitt,2023,2B,25,69,274,253,28,52,15,0,5,30,2,1,13,65,3,3,5,0.206,0.255,0.324,0.579,SF
Cavan Biggio,2023,2B,29,85,338,289,54,68,12,0,9,40,5,2,40,88,0,2,7,0.235,0.34,0.37,0.71,ATL
Ceddanne Rafaela,2023,OF,24,23,89,83,11,20,6,0,2,5,3,1,4,28,0,1,1,0.241,0.281,0.386,0.667,BOS
Cedric Mullins,2023,OF,30,113,452,404,51,94,23,3,15,74,19,3,43,101,3,4,1,0.233,0.305,0.416,0.721,BAL
Charlie Blackmon,2023,OF,38,104,413,359,57,100,24,5,8,40,4,1,39,55,0,4,11,0.279,0.363,0.44,0.8029999999999999,COL
Chas McCormick,2023,OF,29,114,456,403,59,110,17,2,22,70,19,6,40,117,1,2,11,0.273,0.353,0.489,0.842,HOU
Chris Taylor,2023,2B,34,96,384,338,51,80,15,1,15,56,16,3,41,125,0,1,4,0.237,0.326,0.42,0.746,LAD
Christian Bethancourt,2023,C,33,83,331,315,49,71,16,0,11,33,1,0,13,91,1,3,0,0.225,0.254,0.381,0.635,CHC
Christian Encarnacion-Strand,2023,1B,25,61,241,222,29,60,7,0,13,37,2,0,14,69,0,0,5,0.27,0.328,0.477,0.8049999999999999,CIN
Christian Vazquez,2023,C,34,89,354,327,34,73,13,0,6,32,1,0,25,82,1,1,1,0.223,0.28,0.318,0.5980000000000001,MIN
Christian Walker,2023,1B,33,162,660,582,86,150,36,2,33,103,11,0,62,127,0,8,8,0.258,0.333,0.497,0.8300000000000001,ARI
Christian Yelich,2023,OF,33,158,632,550,106,153,34,1,19,76,28,3,78,140,0,1,3,0.278,0.37,0.447,0.817,MIL
Christopher Morel,2023,2B,25,107,428,388,62,96,17,3,26,70,6,2,36,133,1,2,2,0.247,0.313,0.508,0.821,TB
Cody Bellinger,2023,OF,29,139,556,499,95,153,29,1,26,97,20,6,40,87,0,12,5,0.307,0.356,0.525,0.881,CHC
Conner Capel,2023,OF,27,22,86,73,6,19,5,0,0,3,5,3,12,25,0,0,1,0.26,0.372,0.329,0.7010000000000001,CIN
Connor Joe,2023,OF,32,118,472,413,63,102,31,4,11,42,3,5,50,110,0,1,8,0.247,0.339,0.421,0.76,PIT
Connor Wong,2023,C,28,100,400,371,55,87,25,2,9,36,8,2,22,134,3,1,6,0.235,0.288,0.385,0.673,BOS
Corbin Carroll,2023,OF,24,160,639,565,116,161,30,10,25,76,54,5,57,125,0,4,13,0.285,0.362,0.506,0.868,ARI
Corey Julks,2023,OF,28,81,323,298,35,73,14,0,6,33,15,3,22,75,0,2,1,0.245,0.297,0.352,0.649,CWS
Corey Seager,2023,SS,30,134,536,477,88,156,42,0,33,96,2,1,49,88,0,6,4,0.327,0.39,0.623,1.013,TEX
Cristian Pache,2023,OF,26,24,94,84,12,20,7,1,2,11,2,3,10,27,1,0,0,0.238,0.319,0.417,0.736,BAL
Curt Casali,2023,C,36,24,93,80,8,14,2,0,0,6,0,0,11,23,3,0,2,0.175,0.29,0.2,0.49,SF
Curtis Mead,2023,2B,24,23,92,83,12,21,3,1,1,5,0,0,7,21,0,0,2,0.253,0.326,0.349,0.675,TB
DJ LeMahieu,2023,3B,36,141,562,497,55,121,22,3,15,44,2,2,60,125,0,2,3,0.243,0.327,0.39,0.7170000000000001,NYY
DJ Stewart,2023,OF,31,46,183,160,21,39,9,0,11,26,1,1,15,56,1,1,7,0.244,0.333,0.506,0.839,NYM
Dairon Blanco,2023,OF,31,34,136,124,19,32,7,4,3,18,24,5,10,33,2,0,2,0.258,0.324,0.452,0.776,KC
Daniel Vogelbach,2023,DH,32,80,319,275,33,64,8,0,13,48,0,0,42,81,0,0,2,0.233,0.339,0.404,0.7430000000000001,TOR
Danny Jansen,2023,C,29,76,301,268,38,61,15,0,17,53,0,0,23,62,0,0,10,0.228,0.312,0.474,0.786,BOS
Dansby Swanson,2023,SS,31,160,638,565,81,138,25,3,22,80,9,1,66,154,0,2,5,0.244,0.328,0.416,0.744,CHC
Daulton Varsho,2023,OF,28,145,579,527,65,116,23,3,20,61,16,7,45,135,1,3,4,0.22,0.285,0.389,0.6739999999999999,TOR
David Fletcher,2023,2B,30,24,96,89,7,22,1,0,2,12,0,0,7,9,1,0,0,0.247,0.302,0.326,0.628,ATL
David Fry,2023,C,29,29,113,101,12,24,6,0,4,15,2,0,8,30,0,0,4,0.238,0.319,0.416,0.735,CLE
David Hensley,2023,DH,28,24,94,84,12,10,1,0,1,3,1,0,10,35,0,0,0,0.119,0.213,0.167,0.38,MIA
David Peralta,2023,OF,37,106,422,394,47,102,25,1,7,55,4,1,20,72,0,6,2,0.259,0.294,0.381,0.675,SD
David Villar,2023,2B,28,35,140,124,15,18,6,0,5,12,1,1,11,45,0,1,4,0.145,0.236,0.315,0.5509999999999999,SF
Davis Schneider,2023,2B,26,36,141,116,23,32,12,1,8,20,1,0,21,43,0,0,4,0.276,0.404,0.603,1.0070000000000001,TOR
Dominic Canzone,2023,OF,27,47,182,173,23,38,13,0,6,21,1,0,8,32,0,0,1,0.22,0.258,0.399,0.657,SEA
Dominic Fletcher,2023,OF,27,25,100,93,10,28,5,1,2,14,0,2,7,22,2,0,0,0.301,0.35,0.441,0.7909999999999999,CWS
Dominic Smith,2023,1B,29,146,584,527,57,134,21,1,12,46,1,1,47,91,0,0,10,0.254,0.327,0.366,0.6930000000000001,CIN
Donovan Solano,2023,2B,37,113,450,394,43,111,26,1,5,38,0,0,40,100,0,1,15,0.282,0.369,0.391,0.76,SD
Drew Waters,2023,OF,26,85,337,302,40,69,11,5,8,32,16,5,27,107,0,3,5,0.228,0.3,0.377,0.677,KC
Dylan Carlson,2023,OF,26,64,255,219,27,48,8,1,5,27,3,0,26,49,0,3,7,0.219,0.318,0.333,0.651,TB
Dylan Moore,2023,2B,32,42,165,145,18,30,9,1,7,19,7,3,16,56,0,0,4,0.207,0.303,0.428,0.731,SEA
Eddie Rosario,2023,OF,33,129,515,478,64,122,24,3,21,74,3,4,34,122,1,2,1,0.255,0.305,0.45,0.755,ATL
Edmundo Sosa,2023,SS,28,75,297,279,34,70,15,2,10,30,4,2,8,74,2,1,9,0.251,0.293,0.427,0.72,PHI
Edouard Julien,2023,2B,25,102,407,338,60,89,16,1,16,37,3,0,64,128,1,3,2,0.263,0.381,0.459,0.8400000000000001,MIN
Edward Olivares,2023,OF,28,97,385,354,47,93,23,4,12,36,11,5,22,64,0,2,7,0.263,0.317,0.452,0.769,PIT
Elehuris Montero,2023,3B,26,77,307,284,40,69,15,2,11,39,0,0,15,111,0,3,5,0.243,0.29,0.426,0.716,COL
Elias Diaz,2023,C,34,132,526,486,48,130,25,1,14,72,1,0,34,118,0,4,2,0.267,0.316,0.409,0.725,SD
Elly De La Cruz,2023,SS,23,107,426,388,67,91,15,7,13,44,35,8,35,144,1,1,2,0.235,0.3,0.41,0.71,CIN
Eloy Jimenez,2023,DH,28,123,489,456,50,124,23,0,18,64,0,0,30,93,0,2,1,0.272,0.317,0.441,0.758,BAL
Emmanuel Rivera,2023,3B,28,71,283,257,32,67,13,0,4,29,1,0,22,56,0,4,0,0.261,0.314,0.358,0.6719999999999999,BAL
Enmanuel Valdez,2023,2B,26,37,148,139,17,37,8,0,6,19,5,1,8,37,0,0,1,0.266,0.311,0.453,0.764,BOS
Enrique Hernandez,2023,3B,33,128,508,465,57,110,23,0,11,61,4,1,34,97,0,6,3,0.237,0.289,0.357,0.6459999999999999,LAD
Eric Haase,2023,C,32,74,292,274,22,55,8,1,4,26,4,1,17,81,1,1,0,0.201,0.247,0.281,0.528,MIL
Esteury Ruiz,2023,OF,26,122,486,449,47,114,24,1,5,47,67,13,20,99,4,1,16,0.254,0.309,0.345,0.6539999999999999,OAK
Eugenio Suarez,2023,3B,33,162,694,598,68,139,29,0,22,96,2,1,70,214,0,11,15,0.232,0.323,0.391,0.714,ARI
Ezequiel Duran,2023,3B,25,110,438,406,55,112,22,2,14,46,8,4,23,120,1,2,7,0.276,0.324,0.443,0.767,TEX
Ezequiel Tovar,2023,SS,23,154,613,581,79,147,37,4,15,73,11,5,25,166,2,3,4,0.253,0.287,0.408,0.695,COL
Fernando Tatis,2023,OF,26,159,634,575,91,148,33,1,25,78,29,4,53,141,1,3,3,0.257,0.322,0.449,0.771,SD
Francisco Alvarez,2023,C,23,106,423,382,51,80,12,0,25,63,2,0,34,110,0,1,6,0.209,0.284,0.437,0.721,NYM
Francisco Lindor,2023,SS,31,162,680,602,108,153,33,2,31,98,31,4,66,137,0,0,12,0.254,0.34,0.47,0.81,NYM
Freddie Freeman,2023,1B,35,162,730,637,131,211,59,2,29,102,23,1,72,121,0,5,16,0.331,0.41,0.567,0.9769999999999999,LAD
Freddy Fermin,2023,C,29,59,234,217,26,61,10,1,9,32,0,0,13,50,1,3,1,0.281,0.321,0.461,0.782,KC
Gabriel Arias,2023,SS,24,87,345,315,36,66,15,0,10,26,3,4,28,113,0,1,1,0.21,0.275,0.352,0.627,CLE
Gabriel Moreno,2023,C,25,94,373,341,33,97,19,1,7,50,6,2,29,75,0,0,3,0.284,0.346,0.408,0.754,ARI
Garrett Cooper,2023,1B,34,115,457,422,42,106,18,1,17,61,0,0,31,132,0,2,2,0.251,0.304,0.419,0.723,CHC
Garrett Hampson,2023,SS,30,63,249,221,30,61,12,1,3,23,5,0,23,67,3,2,3,0.276,0.349,0.38,0.729,KC
Garrett Stubbs,2023,C,31,31,124,113,15,23,4,1,1,12,2,0,9,29,1,0,2,0.204,0.274,0.283,0.5569999999999999,PHI
Gary Sanchez,2023,C,32,67,267,240,33,52,9,0,19,47,0,0,21,67,0,2,4,0.217,0.288,0.492,0.78,MIL
Gavin Sheets,2023,OF,28,86,344,311,24,63,10,0,10,43,1,0,28,66,0,4,1,0.203,0.267,0.331,0.5980000000000001,CWS
George Springer,2023,OF,35,162,681,613,87,158,25,1,21,72,20,5,60,125,0,3,5,0.258,0.327,0.405,0.732,TOR
Geraldo Perdomo,2023,SS,25,121,481,407,71,100,20,4,6,47,16,4,64,86,14,4,6,0.246,0.353,0.359,0.712,ARI
Giancarlo Stanton,2023,DH,35,104,415,371,43,71,13,0,24,60,0,0,41,124,0,1,2,0.191,0.275,0.42,0.6950000000000001,NYY
Gio Urshela,2023,3B,33,57,228,214,22,64,8,1,2,24,3,2,10,36,0,3,1,0.299,0.329,0.374,0.7030000000000001,ATL
Gleyber Torres,2023,2B,28,162,672,596,90,163,28,2,25,68,13,6,67,98,0,6,3,0.273,0.347,0.453,0.8,NYY
Gunnar Henderson,2023,SS,23,156,622,560,100,143,29,9,28,82,10,3,56,159,0,3,3,0.255,0.325,0.489,0.8140000000000001,BAL
Ha-Seong Kim,2023,SS,29,156,621,538,84,140,23,0,17,60,38,9,75,124,5,5,3,0.26,0.351,0.398,0.749,SD
Harold Ramirez,2023,DH,30,109,434,400,58,125,19,2,12,68,5,3,22,79,0,6,6,0.312,0.353,0.46,0.813,WSH
Harrison Bader,2023,OF,30,87,343,319,44,74,12,2,7,40,20,3,17,59,1,4,3,0.232,0.274,0.348,0.622,NYM
Henry Davis,2023,C,25,64,255,225,27,48,10,0,7,24,3,5,25,69,0,1,4,0.213,0.302,0.351,0.653,PIT
Hunter Renfroe,2023,OF,33,137,548,498,60,116,31,0,20,60,0,0,44,125,0,3,3,0.233,0.297,0.416,0.713,KC
Ian Happ,2023,OF,30,162,691,580,86,144,35,4,21,84,14,3,99,153,0,6,6,0.248,0.36,0.431,0.7909999999999999,CHC
Ildemaro Vargas,2023,3B,33,71,283,262,32,66,13,2,4,31,1,1,19,20,3,1,1,0.252,0.304,0.363,0.667,WSH
Isaac Paredes,2023,3B,26,143,571,492,71,123,24,0,31,98,1,0,58,104,0,1,20,0.25,0.352,0.488,0.84,CHC
Isiah Kiner-Falefa,2023,SS,29,90,360,326,39,79,12,1,6,37,14,5,28,70,1,3,3,0.242,0.306,0.34,0.646,PIT
J.D. Davis,2023,3B,31,136,544,480,61,119,23,1,18,69,1,0,52,152,0,6,6,0.248,0.325,0.412,0.737,NYY
J.D. Martinez,2023,DH,37,120,477,432,61,117,27,2,33,103,1,0,34,149,0,9,2,0.271,0.321,0.572,0.893,NYM
J.P. Crawford,2023,SS,30,159,635,534,94,142,35,0,19,65,2,0,94,125,3,2,5,0.266,0.38,0.438,0.8180000000000001,SEA
J.T. Realmuto,2023,C,33,135,538,489,70,123,28,5,20,63,16,5,35,138,0,5,9,0.252,0.31,0.452,0.762,PHI
JJ Bleday,2023,OF,27,76,303,256,35,50,11,0,10,27,5,1,42,72,0,3,2,0.195,0.31,0.355,0.665,OAK
Jace Peterson,2023,3B,34,108,428,374,35,79,10,4,6,37,15,2,47,101,2,3,4,0.211,0.304,0.307,0.611,ARI
Jack Suwinski,2023,OF,26,134,534,447,63,100,21,2,26,74,13,2,75,172,0,6,6,0.224,0.339,0.454,0.793,PIT
Jacob Stallings,2023,C,35,69,273,241,22,46,14,0,3,20,0,0,27,67,3,2,3,0.191,0.278,0.286,0.5640000000000001,COL
Jacob Young,2023,OF,25,30,118,107,9,27,7,1,0,12,13,0,10,22,3,0,1,0.252,0.322,0.336,0.658,WSH
Jake Bauers,2023,1B,29,68,272,242,28,49,15,0,12,30,3,2,27,95,0,3,0,0.202,0.279,0.413,0.692,MIL
Jake Burger,2023,1B,28,136,540,492,71,123,28,1,34,80,1,1,32,149,0,4,12,0.25,0.309,0.518,0.827,MIA
Jake Cave,2023,OF,32,51,202,184,18,39,8,1,5,21,3,0,15,55,1,2,1,0.212,0.272,0.348,0.62,COL
Jake Cronenworth,2023,2B,31,130,520,458,54,105,24,7,10,48,6,1,46,97,1,5,11,0.229,0.312,0.378,0.69,SD
Jake Fraley,2023,OF,29,95,380,336,41,86,18,0,15,65,21,5,37,71,0,1,6,0.256,0.339,0.443,0.782,CIN
Jake McCarthy,2023,OF,27,77,308,276,37,67,7,5,2,16,26,4,26,62,4,1,5,0.243,0.318,0.326,0.644,ARI
Jake Meyers,2023,OF,28,86,341,309,42,70,16,1,10,33,5,2,26,88,0,1,5,0.227,0.296,0.382,0.6779999999999999,HOU
Jake Rogers,2023,C,29,91,364,331,47,73,11,0,21,49,1,1,28,118,1,2,3,0.221,0.286,0.444,0.73,DET
James McCann,2023,C,34,56,223,207,25,46,14,0,6,26,3,1,9,57,3,2,5,0.222,0.269,0.377,0.646,BAL
James Outman,2023,OF,27,142,567,483,86,120,16,3,23,70,16,3,68,181,0,4,12,0.248,0.353,0.437,0.79,LAD
Jared Triolo,2023,3B,27,53,209,181,30,54,9,0,3,21,6,1,24,63,0,1,3,0.298,0.388,0.398,0.786,PIT
Jared Walsh,2023,1B,31,29,116,104,10,13,4,0,4,11,0,0,11,45,0,0,1,0.125,0.216,0.279,0.495,TEX
Jarred Kelenic,2023,OF,25,104,416,372,44,94,25,2,11,49,13,5,41,132,0,2,1,0.253,0.327,0.419,0.746,ATL
Jarren Duran,2023,OF,28,91,361,332,46,98,34,2,8,40,24,2,24,90,0,2,3,0.295,0.346,0.482,0.828,BOS
Jason Delay,2023,C,29,46,184,167,20,42,11,1,1,18,0,0,14,44,2,0,3,0.251,0.321,0.347,0.6679999999999999,PIT
