Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Jason Heyward,2023,OF,35,94,374,334,56,90,23,0,15,40,2,2,34,64,0,3,3,0.269,0.34,0.473,0.813,HOU
Javier Baez,2023,SS,32,137,546,510,58,113,18,4,9,59,12,0,24,125,0,3,9,0.222,0.267,0.325,0.5920000000000001,DET
Jazz Chisholm,2023,3B,27,96,382,352,50,88,12,2,19,51,22,3,26,118,1,2,2,0.25,0.304,0.457,0.761,NYY
Jeff McNeil,2023,2B,32,162,645,585,75,158,25,4,10,55,10,0,39,65,3,3,18,0.27,0.333,0.378,0.7110000000000001,NYM
Jeimer Candelario,2023,1B,31,145,575,505,77,127,39,3,22,70,8,1,53,127,0,4,13,0.251,0.336,0.471,0.8069999999999999,CIN
Jeremy Pena,2023,SS,27,158,630,577,81,152,32,3,10,52,13,9,43,129,1,1,9,0.263,0.324,0.381,0.7050000000000001,HOU
Jesse Winker,2023,OF,31,50,197,166,16,33,5,0,1,23,0,0,26,51,0,1,4,0.199,0.32,0.247,0.567,NYM
Jesus Sanchez,2023,OF,27,101,401,360,43,91,23,3,14,52,3,1,38,107,1,1,2,0.253,0.327,0.45,0.777,MIA
Ji Hwan Bae,2023,OF,25,92,368,334,54,77,17,2,2,32,24,9,30,92,3,2,2,0.231,0.296,0.311,0.607,PIT
Joc Pederson,2023,DH,32,107,425,358,59,84,14,3,15,51,0,0,57,89,0,3,7,0.235,0.348,0.416,0.764,ARI
Joey Bart,2023,C,28,24,95,87,9,18,5,0,0,5,0,0,3,23,0,1,4,0.207,0.263,0.264,0.527,PIT
Joey Gallo,2023,OF,31,83,332,282,39,50,9,1,21,40,1,1,48,142,0,0,2,0.177,0.301,0.44,0.741,WSH
Joey Meneses,2023,DH,32,162,657,611,71,168,36,1,13,89,0,0,38,130,0,3,5,0.275,0.321,0.401,0.722,WSH
Joey Wendle,2023,3B,34,79,315,297,33,63,16,3,2,20,7,1,13,67,3,3,2,0.212,0.248,0.306,0.554,NYM
Joey Wiemer,2023,OF,26,103,410,367,48,75,19,0,13,42,11,4,36,116,0,2,5,0.204,0.283,0.362,0.645,CIN
Johan Rojas,2023,OF,24,40,158,149,24,45,9,2,2,23,14,1,5,42,6,0,4,0.302,0.342,0.43,0.772,PHI
Jon Berti,2023,3B,35,106,422,388,53,114,16,3,7,33,16,6,29,77,2,3,2,0.294,0.344,0.405,0.749,NYY
Jon Singleton,2023,1B,33,27,105,91,11,15,3,0,2,12,0,0,13,23,0,1,0,0.165,0.267,0.264,0.531,HOU
Jonah Bride,2023,1B,29,27,105,88,9,15,3,0,0,7,0,1,11,22,1,2,4,0.17,0.286,0.205,0.491,MIA
Jonah Heim,2023,C,29,126,501,457,61,118,28,0,18,95,2,0,40,96,0,3,1,0.258,0.317,0.438,0.755,TEX
Jonathan Aranda,2023,1B,26,26,103,87,13,20,4,1,2,13,0,0,13,31,0,1,2,0.23,0.34,0.368,0.708,TB
Jonathan India,2023,2B,28,131,522,454,78,111,23,0,17,61,14,2,52,109,0,0,16,0.244,0.343,0.407,0.75,CIN
Jordan Walker,2023,OF,22,117,465,420,51,116,19,2,16,51,7,4,37,104,0,2,6,0.276,0.342,0.445,0.787,STL
Jordan Westburg,2023,2B,26,57,228,208,26,54,17,2,3,23,4,1,16,56,0,3,1,0.26,0.311,0.404,0.7150000000000001,BAL
Jorge Mateo,2023,2B,29,86,344,318,58,69,14,2,7,34,32,5,22,82,5,3,1,0.217,0.267,0.34,0.607,BAL
Jorge Polanco,2023,2B,31,85,340,302,38,77,18,0,14,48,4,0,36,88,0,0,2,0.255,0.338,0.454,0.792,SEA
Jorge Soler,2023,OF,32,145,580,504,77,126,24,0,36,75,1,0,66,141,0,4,6,0.25,0.341,0.512,0.853,ATL
Jose Abreu,2023,1B,38,149,594,540,62,128,23,1,18,90,0,1,42,130,0,6,6,0.237,0.296,0.383,0.679,HOU
Jose Altuve,2023,2B,34,103,410,360,76,112,21,2,17,51,14,2,44,71,0,1,5,0.311,0.393,0.522,0.915,HOU
Jose Azocar,2023,OF,28,25,97,91,16,21,6,0,2,9,8,2,4,24,5,0,2,0.231,0.278,0.363,0.641,SD
Jose Caballero,2023,SS,28,70,280,231,37,51,9,1,4,26,26,3,28,66,0,4,17,0.221,0.343,0.32,0.663,TB
Jose Herrera,2023,C,28,29,115,101,15,21,5,0,0,7,1,0,13,30,5,1,0,0.208,0.296,0.257,0.5529999999999999,ARI
Jose Miranda,2023,3B,26,38,152,142,12,30,4,0,3,13,0,0,9,24,0,0,1,0.211,0.263,0.303,0.5660000000000001,MIN
Jose Ramirez,2023,3B,32,162,685,611,87,172,36,5,24,80,28,6,73,73,0,0,1,0.282,0.359,0.475,0.834,CLE
Jose Siri,2023,OF,29,91,363,338,58,75,13,2,25,56,12,3,20,130,1,3,2,0.222,0.267,0.494,0.761,TB
Jose Trevino,2023,C,32,42,167,157,15,33,4,0,4,15,0,0,8,22,1,0,2,0.21,0.257,0.312,0.569,NYY
Josh Bell,2023,1B,32,155,615,547,52,135,28,0,22,74,0,1,63,134,0,3,2,0.247,0.325,0.419,0.744,ARI
Josh Jung,2023,3B,27,129,513,478,75,127,25,1,23,70,1,3,30,151,0,0,5,0.266,0.316,0.467,0.783,TEX
Josh Lowe,2023,OF,27,126,501,466,71,136,33,2,20,83,32,3,31,124,0,3,1,0.292,0.335,0.5,0.835,TB
Josh Naylor,2023,1B,27,124,495,452,52,139,31,0,17,97,10,3,33,68,0,7,3,0.308,0.354,0.489,0.843,CLE
Josh Rojas,2023,3B,30,87,346,314,47,77,17,0,4,40,12,0,27,81,2,4,1,0.245,0.303,0.338,0.641,SEA
Josh Smith,2023,3B,27,58,230,195,29,36,8,1,6,15,1,0,25,55,2,1,9,0.185,0.304,0.328,0.632,TEX
Joshua Palacios,2023,OF,29,66,262,247,26,59,9,2,10,40,5,0,12,56,2,1,2,0.239,0.279,0.413,0.692,PIT
Juan Soto,2023,OF,26,162,707,568,97,156,32,1,35,109,12,5,132,129,1,5,2,0.275,0.41,0.519,0.929,NYY
Julio Rodriguez,2023,OF,24,162,714,654,102,180,37,2,32,103,37,10,47,175,0,2,11,0.275,0.333,0.485,0.8180000000000001,SEA
Jurickson Profar,2023,OF,32,131,520,459,55,111,27,2,9,46,1,0,50,90,0,5,6,0.242,0.321,0.368,0.6890000000000001,SD
Justin Turner,2023,1B,40,157,626,558,86,154,31,0,23,96,4,1,51,110,0,6,11,0.276,0.345,0.455,0.8,SEA
Ke'Bryan Hayes,2023,3B,28,132,525,494,65,134,31,7,15,61,10,6,28,104,0,3,0,0.271,0.309,0.453,0.762,PIT
Keibert Ruiz,2023,C,26,141,562,523,55,136,24,0,18,67,1,1,31,58,0,2,6,0.26,0.308,0.409,0.717,WSH
Kerry Carpenter,2023,OF,27,115,459,418,57,116,17,2,20,64,6,0,32,115,0,1,8,0.278,0.34,0.471,0.8109999999999999,DET
Ketel Marte,2023,2B,31,162,650,569,94,157,26,9,25,82,8,2,71,109,0,5,5,0.276,0.358,0.485,0.843,ARI
Kevin Kiermaier,2023,OF,34,102,407,370,58,98,21,6,8,36,14,1,29,86,1,4,4,0.265,0.322,0.419,0.741,LAD
Kevin Newman,2023,SS,31,63,251,225,28,57,16,0,3,28,8,1,17,34,2,5,4,0.253,0.311,0.364,0.675,ARI
Kevin Pillar,2023,OF,36,52,206,197,29,45,10,0,9,32,4,1,6,50,0,3,0,0.228,0.248,0.416,0.6639999999999999,CWS
Kody Clemens,2023,3B,28,37,148,139,15,32,7,0,4,13,0,0,8,40,0,0,1,0.23,0.277,0.367,0.644,PHI
Kris Bryant,2023,DH,33,84,335,300,36,70,10,0,10,31,0,0,29,68,0,0,6,0.233,0.313,0.367,0.6799999999999999,COL
Kyle Farmer,2023,SS,34,93,369,336,49,86,14,2,11,46,2,4,23,86,0,2,8,0.256,0.317,0.408,0.725,MIN
Kyle Higashioka,2023,C,34,65,259,242,24,57,13,0,10,34,0,0,14,74,1,3,0,0.236,0.274,0.413,0.687,SD
Kyle Isbel,2023,OF,27,78,312,292,45,70,22,2,5,34,7,1,17,59,1,2,1,0.24,0.282,0.38,0.6619999999999999,KC
Kyle Schwarber,2023,DH,31,162,720,585,108,115,19,1,47,104,0,2,126,215,0,3,6,0.197,0.343,0.474,0.817,PHI
Kyle Tucker,2023,OF,28,162,667,574,97,163,37,5,29,112,30,5,80,92,0,10,3,0.284,0.369,0.517,0.886,HOU
LaMonte Wade,2023,1B,31,129,515,429,64,110,14,2,17,45,2,0,76,95,4,4,6,0.256,0.373,0.417,0.79,SF
Lane Thomas,2023,OF,29,162,682,628,101,168,36,3,28,86,20,5,36,176,0,7,11,0.268,0.315,0.468,0.783,CLE
Lars Nootbaar,2023,OF,27,126,502,426,74,111,23,1,14,46,11,1,72,99,1,3,1,0.261,0.367,0.418,0.7849999999999999,STL
Lawrence Butler,2023,OF,24,33,129,123,10,26,4,0,4,10,0,0,4,35,0,1,1,0.211,0.24,0.341,0.581,OAK
Lenyn Sosa,2023,2B,25,43,170,164,12,33,6,0,6,14,0,1,5,40,3,1,0,0.201,0.224,0.348,0.572,CWS
Leody Taveras,2023,OF,26,138,551,511,67,136,31,3,14,67,14,4,35,117,3,4,1,0.266,0.312,0.421,0.733,TEX
Liover Peguero,2023,SS,24,53,211,198,21,47,4,1,7,26,6,2,11,67,2,1,1,0.237,0.28,0.374,0.654,PIT
Logan O'Hoppe,2023,C,25,50,198,182,23,43,6,0,14,29,0,1,14,48,0,0,2,0.236,0.298,0.5,0.798,LAA
Lourdes Gurriel,2023,OF,31,148,592,551,65,144,35,2,24,82,5,0,33,103,0,2,6,0.261,0.309,0.463,0.772,ARI
Luis Arraez,2023,1B,27,154,616,574,71,203,30,3,10,69,3,2,35,34,1,3,4,0.354,0.393,0.469,0.862,MIA
Luis Campusano,2023,C,26,44,174,163,27,52,7,0,7,30,0,0,7,21,0,1,3,0.319,0.356,0.491,0.847,SD
Luis Garcia,2023,2B,24,121,481,447,61,119,18,4,9,50,9,4,27,60,1,7,0,0.266,0.304,0.385,0.6890000000000001,WSH
Luis Guillorme,2023,2B,30,30,118,107,12,24,6,1,1,9,0,0,10,28,2,1,0,0.224,0.288,0.327,0.615,ATL
Luis Matos,2023,OF,23,63,251,228,24,57,13,1,2,14,3,0,20,33,2,0,3,0.25,0.319,0.342,0.661,SF
Luis Rengifo,2023,2B,27,112,445,394,55,104,15,4,16,51,6,4,41,82,0,4,6,0.264,0.339,0.444,0.783,LAA
Luis Robert,2023,OF,27,148,590,546,90,144,36,1,38,80,20,4,30,172,0,2,12,0.264,0.315,0.542,0.857,CWS
Luis Urias,2023,3B,27,44,175,144,18,28,6,0,3,18,0,0,21,41,0,0,10,0.194,0.337,0.299,0.636,SEA
Luke Maile,2023,C,34,50,198,179,17,42,10,0,6,25,2,1,14,49,1,0,5,0.235,0.308,0.391,0.6990000000000001,CIN
Luke Raley,2023,1B,30,102,405,357,56,89,23,3,19,49,14,3,28,128,1,2,18,0.249,0.333,0.49,0.823,SEA
Luken Baker,2023,DH,27,25,99,86,9,18,3,0,2,10,0,0,13,31,0,0,0,0.209,0.313,0.314,0.627,STL
MJ Melendez,2023,OF,26,151,602,533,65,125,29,5,16,56,6,4,62,170,0,4,3,0.235,0.316,0.398,0.714,KC
Maikel Garcia,2023,3B,24,129,514,464,59,126,20,4,4,50,23,7,38,115,1,10,2,0.272,0.323,0.358,0.681,KC
Manny Machado,2023,3B,32,151,601,543,75,140,21,0,30,91,3,2,50,109,0,6,2,0.258,0.319,0.462,0.781,SD
Manuel Margot,2023,OF,30,84,333,311,39,82,21,1,4,38,9,3,18,55,0,0,4,0.264,0.312,0.376,0.688,MIN
Marcell Ozuna,2023,DH,34,148,592,530,84,145,29,1,40,100,0,0,57,134,0,2,3,0.274,0.346,0.558,0.904,ATL
Marcus Semien,2023,2B,34,162,752,670,122,185,40,4,29,100,14,3,72,110,0,5,5,0.276,0.348,0.478,0.826,TEX
Mark Canha,2023,OF,36,127,507,435,51,114,25,1,11,62,11,1,49,79,0,6,17,0.262,0.355,0.4,0.755,SF
Mark Vientos,2023,3B,25,59,233,218,19,46,5,1,9,22,1,0,10,71,0,2,3,0.211,0.253,0.367,0.62,NYM
Martin Maldonado,2023,C,38,99,395,362,33,69,12,0,15,36,0,0,30,139,12,0,3,0.191,0.258,0.348,0.606,CWS
Masataka Yoshida,2023,DH,31,145,580,537,71,155,33,3,15,72,8,0,34,81,0,2,7,0.289,0.338,0.445,0.783,BOS
Masyn Winn,2023,SS,22,34,135,122,8,21,2,0,2,12,2,1,10,26,2,3,0,0.172,0.23,0.238,0.46799999999999997,STL
Matt Carpenter,2023,DH,39,59,236,188,18,33,12,0,5,31,1,0,41,67,0,5,2,0.176,0.322,0.319,0.641,STL
Matt Chapman,2023,3B,31,146,581,509,66,122,39,2,17,54,4,2,62,165,0,2,8,0.24,0.33,0.424,0.754,SF
Matt Duffy,2023,3B,34,53,209,191,17,48,8,0,2,16,1,0,12,39,0,2,4,0.251,0.306,0.325,0.631,TEX
Matt Mervis,2023,DH,26,25,99,90,8,15,2,0,3,11,0,0,8,32,0,0,1,0.167,0.242,0.289,0.5309999999999999,CHC
Matt Olson,2023,1B,30,162,720,608,127,172,27,3,54,139,1,0,104,167,0,4,4,0.283,0.389,0.604,0.993,ATL
Matt Thaiss,2023,C,29,77,307,262,32,56,6,0,9,31,2,0,36,83,0,3,6,0.214,0.319,0.34,0.659,LAA
Matt Vierling,2023,OF,28,133,529,479,63,125,21,5,10,44,6,6,44,112,1,1,5,0.261,0.329,0.388,0.7170000000000001,DET
Matt Wallner,2023,OF,27,64,254,213,42,53,11,1,14,41,2,1,28,80,0,0,13,0.249,0.37,0.507,0.877,MIN
Matthew Batten,2023,3B,29,35,138,120,19,31,6,0,2,11,2,2,17,30,1,0,1,0.258,0.355,0.358,0.713,SD
Mauricio Dubon,2023,OF,30,123,492,467,76,130,26,3,10,46,7,2,19,70,0,3,3,0.278,0.309,0.411,0.72,HOU
Max Kepler,2023,OF,32,123,491,438,72,114,22,2,24,66,1,1,45,106,0,4,4,0.26,0.332,0.484,0.8160000000000001,MIN
Max Muncy,2023,3B,34,145,579,482,95,102,17,1,36,105,1,2,85,153,0,6,6,0.212,0.333,0.475,0.808,LAD
Michael Busch,2023,1B,27,21,81,72,9,12,3,0,2,7,1,0,8,27,0,1,0,0.167,0.247,0.292,0.5389999999999999,CHC
Michael Conforto,2023,OF,31,117,466,406,58,97,14,0,15,58,4,0,53,106,0,0,7,0.239,0.337,0.384,0.7210000000000001,SF
Michael Harris,2023,OF,23,135,538,505,76,148,33,3,18,57,20,4,25,101,1,3,5,0.293,0.331,0.477,0.808,ATL
Michael Massey,2023,2B,26,115,460,428,42,98,18,1,15,55,6,2,24,99,1,4,4,0.229,0.274,0.381,0.655,KC
Michael Taylor,2023,OF,33,97,385,355,48,78,14,1,21,51,13,1,26,130,3,1,3,0.22,0.278,0.442,0.72,PIT
Michael Toglia,2023,1B,26,38,152,141,18,23,5,0,4,9,1,1,10,50,0,0,1,0.163,0.224,0.284,0.508,COL
Mickey Moniak,2023,OF,26,81,323,311,35,87,21,2,14,45,6,3,9,113,0,0,3,0.28,0.307,0.495,0.802,LAA
Miguel Amaya,2023,C,25,39,155,131,17,28,4,0,5,18,0,0,12,40,1,1,11,0.214,0.329,0.359,0.688,CHC
Miguel Andujar,2023,OF,29,23,90,84,9,21,7,0,4,18,2,0,6,13,0,0,0,0.25,0.3,0.476,0.776,OAK
Miguel Rojas,2023,SS,36,106,421,385,49,91,16,1,5,31,8,3,26,48,2,5,5,0.236,0.29,0.322,0.612,LAD
Miguel Vargas,2023,3B,25,76,302,256,36,50,15,4,7,32,3,2,38,61,1,4,4,0.195,0.305,0.367,0.6719999999999999,LAD
Mike Ford,2023,DH,32,63,251,219,32,50,6,0,16,34,0,0,24,81,0,1,7,0.228,0.323,0.475,0.798,CIN
Mike Tauchman,2023,OF,34,100,400,337,64,85,18,0,8,48,7,1,56,86,1,3,4,0.252,0.362,0.377,0.739,CHC
Mike Trout,2023,OF,33,91,362,308,54,81,14,1,18,44,2,0,45,104,0,2,7,0.263,0.367,0.49,0.857,LAA
Mike Yastrzemski,2023,OF,34,95,379,330,54,77,23,1,15,43,2,2,45,99,2,1,3,0.233,0.33,0.445,0.775,SF
Miles Mastrobuoni,2023,3B,29,37,146,133,24,32,5,0,1,5,13,1,13,32,3,0,0,0.241,0.308,0.301,0.609,CHC
Mitch Garver,2023,C,34,86,343,296,45,80,11,0,19,50,0,0,44,82,0,0,3,0.27,0.37,0.5,0.87,SEA
Mitch Haniger,2023,OF,34,58,229,211,27,44,13,1,6,28,1,0,15,65,0,1,2,0.209,0.266,0.365,0.631,SEA
Mookie Betts,2023,OF,32,162,693,584,126,179,40,1,39,107,14,3,96,107,0,5,8,0.307,0.408,0.579,0.9869999999999999,LAD
Myles Straw,2023,OF,30,128,512,462,52,110,18,3,1,29,20,6,42,97,6,6,2,0.238,0.301,0.297,0.598,CLE
Nathaniel Lowe,2023,1B,29,162,724,623,89,163,38,3,17,82,1,0,93,165,0,3,5,0.262,0.36,0.414,0.774,TEX
Nelson Velazquez,2023,DH,26,45,179,162,35,38,6,0,17,34,0,0,14,51,0,1,2,0.235,0.302,0.586,0.8879999999999999,KC
Nick Ahmed,2023,SS,34,53,210,198,14,42,10,1,2,17,5,1,12,52,0,0,0,0.212,0.257,0.303,0.56,SD
Nick Allen,2023,SS,26,81,323,303,29,67,4,2,4,20,5,1,17,52,6,2,1,0.221,0.263,0.287,0.55,OAK
Nick Castellanos,2023,OF,32,162,671,626,79,170,37,2,29,106,11,2,36,185,0,6,3,0.272,0.311,0.476,0.7869999999999999,PHI
Nick Fortes,2023,C,28,80,320,294,33,60,10,0,6,26,4,2,17,59,3,2,7,0.204,0.262,0.299,0.5609999999999999,MIA
Nick Gonzales,2023,2B,25,32,127,115,12,24,8,1,2,13,0,1,6,36,1,2,4,0.209,0.268,0.348,0.616,PIT
Nick Gordon,2023,OF,29,23,92,91,13,16,5,1,2,7,0,0,1,11,1,0,0,0.176,0.185,0.319,0.504,MIA
Nick Madrigal,2023,2B,27,73,289,270,34,71,16,1,2,28,10,2,10,24,0,0,9,0.263,0.311,0.352,0.663,CHC
Nick Maton,2023,3B,28,73,292,249,29,43,9,0,8,32,1,2,38,73,1,2,3,0.173,0.288,0.305,0.593,BAL
Nick Senzel,2023,OF,29,83,330,301,49,71,10,0,13,42,6,2,26,74,0,2,1,0.236,0.297,0.399,0.696,CWS
Nicky Lopez,2023,2B,29,65,258,225,32,52,8,3,1,25,6,2,26,40,4,1,6,0.231,0.326,0.307,0.633,CWS
Nico Hoerner,2023,2B,27,162,687,619,98,175,27,4,9,68,43,7,49,83,1,5,14,0.283,0.346,0.383,0.729,CHC
Noelvi Marte,2023,3B,23,31,123,114,15,36,7,0,3,15,6,2,8,25,0,0,1,0.316,0.366,0.456,0.8220000000000001,CIN
Nolan Arenado,2023,3B,33,153,612,560,71,149,26,2,26,93,3,3,41,101,0,8,3,0.266,0.315,0.459,0.774,STL
Nolan Gorman,2023,2B,24,116,464,406,59,96,17,0,27,76,7,2,53,148,0,2,3,0.236,0.328,0.478,0.806,STL
Nolan Jones,2023,OF,26,106,424,367,60,109,22,4,20,62,20,4,53,126,0,1,3,0.297,0.389,0.542,0.931,COL
Nolan Schanuel,2023,1B,23,33,132,109,19,30,3,0,1,6,0,0,20,19,0,0,3,0.275,0.402,0.33,0.732,LAA
Omar Narvaez,2023,C,33,37,145,128,12,27,5,0,2,7,0,0,14,27,1,3,0,0.211,0.283,0.297,0.58,NYM
Orlando Arcia,2023,SS,30,134,533,488,66,129,25,0,17,65,1,0,39,102,0,3,3,0.264,0.321,0.42,0.741,ATL
Oscar Colas,2023,OF,26,66,261,245,32,53,9,0,5,19,4,3,12,71,2,2,2,0.216,0.257,0.314,0.571,CWS
Oswald Peraza,2023,3B,24,48,191,173,15,33,8,0,2,14,4,3,13,50,0,0,5,0.191,0.267,0.272,0.539,NYY
Oswaldo Cabrera,2023,3B,25,82,327,298,35,63,11,0,5,29,8,0,25,72,0,2,2,0.211,0.275,0.299,0.5740000000000001,NYY
Owen Miller,2023,2B,28,79,314,291,29,76,17,0,5,27,13,2,17,61,0,4,2,0.261,0.303,0.371,0.6739999999999999,MIL
Ozzie Albies,2023,2B,28,162,658,596,96,167,30,5,33,109,13,1,46,107,0,8,8,0.28,0.336,0.513,0.849,ATL
Pablo Reyes,2023,SS,31,46,183,167,27,48,9,0,2,20,7,2,14,21,2,2,0,0.287,0.339,0.377,0.716,BOS
Parker Meadows,2023,OF,25,37,145,125,19,29,4,2,3,13,8,1,17,37,0,1,2,0.232,0.331,0.368,0.6990000000000001,DET
Patrick Bailey,2023,C,25,88,351,326,29,76,18,1,7,48,1,0,21,100,2,1,3,0.233,0.285,0.359,0.6439999999999999,SF
Patrick Wisdom,2023,3B,33,76,301,268,43,55,8,1,23,46,4,2,30,111,1,1,2,0.205,0.289,0.5,0.7889999999999999,CHC
Paul DeJong,2023,SS,31,101,400,372,41,77,13,0,14,38,4,4,21,121,0,2,5,0.207,0.258,0.355,0.613,KC
Paul Goldschmidt,2023,1B,37,162,686,593,89,159,31,0,25,80,11,2,87,161,0,3,3,0.268,0.363,0.447,0.81,STL
Pavin Smith,2023,OF,29,57,227,191,26,36,5,0,7,30,1,1,35,45,0,0,1,0.188,0.317,0.325,0.642,ARI
Pete Alonso,2023,1B,30,162,658,568,92,123,21,2,46,118,4,1,65,151,0,4,21,0.217,0.318,0.504,0.8220000000000001,NYM
Rafael Devers,2023,3B,28,162,656,580,90,157,34,0,33,100,5,1,62,126,0,3,11,0.271,0.351,0.5,0.851,BOS
Rafael Ortega,2023,OF,33,34,135,114,16,25,3,0,1,8,6,1,20,33,1,0,1,0.219,0.341,0.272,0.613,CWS
Ramon Laureano,2023,OF,30,102,404,361,46,81,18,4,9,35,12,1,33,114,0,1,9,0.224,0.304,0.371,0.675,CLE
Ramon Urias,2023,3B,30,99,396,360,45,95,22,3,4,42,3,1,27,101,0,1,8,0.264,0.328,0.375,0.7030000000000001,BAL
Randal Grichuk,2023,OF,33,118,471,434,65,116,31,2,16,44,2,2,29,96,0,2,6,0.267,0.321,0.459,0.78,ARI
Randy Arozarena,2023,OF,29,162,654,551,95,140,19,3,23,83,22,10,80,156,0,5,18,0.254,0.364,0.425,0.7889999999999999,SEA
Reese McGuire,2023,C,29,50,200,187,15,50,12,1,1,16,2,1,11,53,2,1,1,0.267,0.31,0.358,0.6679999999999999,BOS
Rene Pinto,2023,C,28,27,105,103,10,26,3,0,6,16,0,0,2,34,0,0,0,0.252,0.267,0.456,0.7230000000000001,TB
Richie Palacios,2023,2B,27,26,101,93,9,24,6,0,6,16,2,0,6,11,1,1,1,0.258,0.307,0.516,0.823,TB
Riley Adams,2023,C,28,40,157,143,8,39,13,2,4,21,0,0,11,45,1,1,2,0.273,0.331,0.476,0.8069999999999999,WSH
Riley Greene,2023,OF,24,104,416,378,51,109,19,4,11,37,7,0,35,114,0,2,1,0.288,0.349,0.447,0.796,DET
Rob Refsnyder,2023,OF,33,61,241,202,31,50,9,1,1,28,7,2,33,47,1,1,5,0.248,0.365,0.317,0.6819999999999999,BOS
Robbie Grossman,2023,OF,35,105,420,353,56,84,23,1,10,49,1,0,57,98,0,8,2,0.238,0.34,0.394,0.734,KC
Romy Gonzalez,2023,2B,28,24,96,93,11,18,4,2,3,14,7,0,2,36,0,1,0,0.194,0.208,0.376,0.584,BOS
Ronald Acuna,2023,OF,27,162,735,643,149,217,35,4,41,106,73,14,80,84,0,3,9,0.337,0.416,0.596,1.012,ATL
Rowdy Tellez,2023,1B,29,88,351,311,26,67,9,1,13,47,0,0,35,86,0,5,0,0.215,0.291,0.376,0.667,PIT
Royce Lewis,2023,3B,25,60,239,217,36,67,7,0,15,52,6,1,20,55,0,0,2,0.309,0.372,0.548,0.92,MIN
Ryan Jeffers,2023,C,27,83,331,286,46,79,15,2,14,43,3,2,33,93,4,2,10,0.276,0.369,0.49,0.859,MIN
Ryan McKenna,2023,OF,28,34,136,122,23,31,7,0,2,18,5,0,9,40,3,2,3,0.254,0.316,0.361,0.677,SF
Ryan McMahon,2023,3B,30,157,627,555,80,133,31,3,23,70,5,5,68,198,0,3,1,0.24,0.322,0.431,0.753,COL
Ryan Mountcastle,2023,1B,28,116,463,423,64,114,21,1,18,68,3,1,37,107,0,0,3,0.27,0.333,0.452,0.785,BAL
Ryan Noda,2023,1B,28,124,495,406,63,93,22,1,16,54,3,1,77,170,0,2,10,0.229,0.364,0.406,0.77,OAK
Ryan O'Hearn,2023,1B,31,92,367,346,48,100,22,1,14,60,5,1,15,82,1,3,3,0.289,0.322,0.48,0.802,BAL
Sal Frelick,2023,OF,24,56,223,191,29,47,9,1,3,24,7,0,28,37,0,3,1,0.246,0.341,0.351,0.692,MIL
Salvador Perez,2023,C,34,143,570,538,59,137,21,0,23,80,0,0,19,135,0,0,13,0.255,0.296,0.422,0.718,KC
Sam Haggerty,2023,OF,30,27,107,91,13,23,3,1,1,5,10,1,15,17,1,0,1,0.253,0.364,0.341,0.7050000000000001,SEA
